periodo,categoria,persistencia,salida,entrada
2014_t3-t4,Patron,52.4,47.6,49.6
2014_t3-t4,Cuenta_propia,74.4,25.6,28.9
2014_t3-t4,Asalariado,93.6,6.4,5.6
2014_t3-t4,TFSR,16.7,83.3,72.7
2014_t4-t1,Patron,51.5,48.5,44.2
2014_t4-t1,Cuenta_propia,71.7,28.3,28.4
2014_t4-t1,Asalariado,94.2,5.8,6
2014_t4-t1,TFSR,34.4,65.6,64.7
2015_t1-t2,Patron,50.1,49.9,47.5
2015_t1-t2,Cuenta_propia,71.7,28.3,28.9
2015_t1-t2,Asalariado,94.3,5.7,6.1
2015_t1-t2,TFSR,35,65,64.5
2016_t2-t3,Patron,46.6,53.4,43.3
2016_t2-t3,Cuenta_propia,72.8,27.2,29.3
2016_t2-t3,Asalariado,93.4,6.6,6.7
2016_t2-t3,TFSR,29.8,70.2,58.2
2016_t3-t4,Patron,59.8,40.2,45.7
2016_t3-t4,Cuenta_propia,71.1,28.9,25.9
2016_t3-t4,Asalariado,94.4,5.6,6.4
2016_t3-t4,TFSR,23.9,76.1,62
2016_t4-t1,Patron,55.9,44.1,48.6
2016_t4-t1,Cuenta_propia,73.4,26.6,24.6
2016_t4-t1,Asalariado,93.8,6.2,6.3
2016_t4-t1,TFSR,35.1,64.9,70.2
2017_t1-t2,Patron,58.4,41.6,41.4
2017_t1-t2,Cuenta_propia,73.5,26.5,24.9
2017_t1-t2,Asalariado,94,6,6.4
2017_t1-t2,TFSR,24.2,75.8,72.4
2017_t2-t3,Patron,53.4,46.6,48.5
2017_t2-t3,Cuenta_propia,74.1,25.9,27.4
2017_t2-t3,Asalariado,93.7,6.3,6.1
2017_t2-t3,TFSR,30.2,69.8,48.1
2017_t3-t4,Patron,52.5,47.5,43.9
2017_t3-t4,Cuenta_propia,78.6,21.4,24.8
2017_t3-t4,Asalariado,94.1,5.9,5.5
2017_t3-t4,TFSR,8.3,91.7,74.9
2017_t4-t1,Patron,49.3,50.7,48.9
2017_t4-t1,Cuenta_propia,72.3,27.7,27.9
2017_t4-t1,Asalariado,93.7,6.3,6.5
2017_t4-t1,TFSR,23.8,76.2,66.4
2018_t1-t2,Patron,54.3,45.7,45.9
2018_t1-t2,Cuenta_propia,74,26,27.6
2018_t1-t2,Asalariado,93.2,6.8,6.2
2018_t1-t2,TFSR,26.7,73.3,70.9
2018_t2-t3,Patron,51.3,48.7,45.1
2018_t2-t3,Cuenta_propia,74.1,25.9,30.2
2018_t2-t3,Asalariado,92.8,7.2,6.2
2018_t2-t3,TFSR,22.2,77.8,65
2018_t3-t4,Patron,55,45,42.2
2018_t3-t4,Cuenta_propia,74.2,25.8,25.7
2018_t3-t4,Asalariado,93.6,6.4,6.9
2018_t3-t4,TFSR,27.3,72.7,62.6
2018_t4-t1,Patron,55.8,44.2,42.1
2018_t4-t1,Cuenta_propia,75.8,24.2,27.1
2018_t4-t1,Asalariado,93.2,6.8,6.2
2018_t4-t1,TFSR,33.7,66.3,51.1
2019_t1-t2,Patron,48.7,51.3,46.4
2019_t1-t2,Cuenta_propia,71.9,28.1,26.7
2019_t1-t2,Asalariado,93.9,6.1,7.1
2019_t1-t2,TFSR,32.1,67.9,67.8
2019_t2-t3,Patron,49.7,50.3,51
2019_t2-t3,Cuenta_propia,75.2,24.8,26.8
2019_t2-t3,Asalariado,92.8,7.2,6.6
2019_t2-t3,TFSR,9.4,90.6,87.1
2019_t3-t4,Patron,59.6,40.4,44.3
2019_t3-t4,Cuenta_propia,72.8,27.2,25.3
2019_t3-t4,Asalariado,93.7,6.3,6.7
2019_t3-t4,TFSR,17.4,82.6,79
2019_t4-t1,Patron,45.5,54.5,47.4
2019_t4-t1,Cuenta_propia,76.3,23.7,23.7
2019_t4-t1,Asalariado,93.9,6.1,6.8
2019_t4-t1,TFSR,39,61,45
2020_t1-t2,Patron,39.1,60.9,46.8
2020_t1-t2,Cuenta_propia,79.4,20.6,27.7
2020_t1-t2,Asalariado,93.7,6.3,4.4
2020_t1-t2,TFSR,32.3,67.7,86.7
2020_t2-t3,Patron,58.2,41.8,44.5
2020_t2-t3,Cuenta_propia,80.6,19.4,18.4
2020_t2-t3,Asalariado,94.7,5.3,5.2
2020_t2-t3,TFSR,24.3,75.7,81.6
2020_t3-t4,Patron,57.6,42.4,39.5
2020_t3-t4,Cuenta_propia,83.3,16.7,16.9
2020_t3-t4,Asalariado,95.2,4.8,4.7
2020_t3-t4,TFSR,45.2,54.8,54.9
2020_t4-t1,Patron,69.5,30.5,42.4
2020_t4-t1,Cuenta_propia,79.4,20.6,16.5
2020_t4-t1,Asalariado,94.8,5.2,6.7
2020_t4-t1,TFSR,40.6,59.4,36.8
2021_t1-t2,Patron,52.7,47.3,62.3
2021_t1-t2,Cuenta_propia,68.6,31.4,28.4
2021_t1-t2,Asalariado,93.2,6.8,6.5
