periodo,categoria,persistencia,salida,entrada
2009_t4,TFSR,35.3,64.7,68.1
2010_t1,Patron,0,100,100
2010_t1,Cuenta_propia,0,100,100
2010_t1,Asalariado,0,100,100
2010_t1,TFSR,0,100,100
2010_t2,Patron,0,100,100
2010_t2,Cuenta_propia,0,100,100
2010_t2,Asalariado,0,100,100
2010_t2,TFSR,0,100,100
2010_t3,Patron,45.7,54.3,46.4
2010_t3,Cuenta_propia,66.7,33.3,36.5
2010_t3,Asalariado,93,7,7.2
2010_t3,TFSR,44.7,55.3,53.4
2010_t4,Patron,47.5,52.5,49.3
2010_t4,Cuenta_propia,69.7,30.3,32.9
2010_t4,Asalariado,92.7,7.3,6.7
2010_t4,TFSR,6.7,93.3,89.8
2011_t1,Patron,38.6,61.4,47.8
2011_t1,Cuenta_propia,68.8,31.2,35.7
2011_t1,Asalariado,92.3,7.7,7.5
2011_t1,TFSR,13,87,84.6
2011_t2,Patron,53.7,46.3,38.9
2011_t2,Cuenta_propia,68.6,31.4,35.3
2011_t2,Asalariado,92.8,7.2,6.8
2011_t2,TFSR,11.9,88.1,87.2
2011_t3,Patron,49.7,50.3,42.2
2011_t3,Cuenta_propia,65.9,34.1,36.7
2011_t3,Asalariado,93.1,6.9,7.3
2011_t3,TFSR,13.7,86.3,80.5
2011_t4,Patron,48.7,51.3,50.2
2011_t4,Cuenta_propia,65,35,36.1
2011_t4,Asalariado,92.9,7.1,7.1
2011_t4,TFSR,16.3,83.7,71.2
2012_t1,Patron,41.1,58.9,52.7
2012_t1,Cuenta_propia,71.4,28.6,34.3
2012_t1,Asalariado,92.4,7.6,6
2012_t1,TFSR,45.5,54.5,54.2
2012_t2,Patron,50.5,49.5,49
2012_t2,Cuenta_propia,70.5,29.5,30.1
2012_t2,Asalariado,93.2,6.8,6.7
2012_t2,TFSR,30.1,69.9,60.6
2012_t3,Patron,52.7,47.3,49.1
2012_t3,Cuenta_propia,73.8,26.2,31.4
2012_t3,Asalariado,93.4,6.6,4.8
2012_t3,TFSR,21.6,78.4,71.2
2012_t4,Patron,39.3,60.7,53
2012_t4,Cuenta_propia,71.6,28.4,33.9
2012_t4,Asalariado,93.1,6.9,6.4
2012_t4,TFSR,13.1,86.9,80.5
2013_t1,Patron,36.8,63.2,50.6
2013_t1,Cuenta_propia,69.9,30.1,28.8
2013_t1,Asalariado,94.8,5.2,7.2
2013_t1,TFSR,23.4,76.6,27.3
2013_t2,Patron,0,100,100
2013_t2,Cuenta_propia,0,100,100
2013_t2,Asalariado,0,100,100
2013_t2,TFSR,0,100,100
2013_t3,Patron,46.7,53.3,49.1
2013_t3,Cuenta_propia,68.6,31.4,36.9
2013_t3,Asalariado,91.6,8.4,7.3
2013_t3,TFSR,41.2,58.8,69.3
2013_t4,Patron,48.8,51.2,51
2013_t4,Cuenta_propia,70.4,29.6,32.6
2013_t4,Asalariado,92.1,7.9,7.4
2013_t4,TFSR,21.2,78.8,78
2014_t1,Patron,44,56,49.2
2014_t1,Cuenta_propia,71.1,28.9,32.7
2014_t1,Asalariado,92.5,7.5,7.3
2014_t1,TFSR,21.3,78.7,57.3
2014_t2,Patron,52.6,47.4,53.2
2014_t2,Cuenta_propia,68.9,31.1,32.1
2014_t2,Asalariado,92.6,7.4,6.6
2014_t2,TFSR,24.4,75.6,76.2
2015_t2,Patron,0,100,100
2015_t2,Cuenta_propia,0,100,100
2015_t2,Asalariado,0,100,100
2015_t2,TFSR,0,100,100
2016_t2,Patron,53.1,46.9,48.8
2016_t2,Cuenta_propia,68.6,31.4,32.5
2016_t2,Asalariado,91.7,8.3,7.5
2016_t2,TFSR,13.9,86.1,88.6
2016_t3,Patron,41.7,58.3,60.1
2016_t3,Cuenta_propia,68.4,31.6,32.8
2016_t3,Asalariado,91.8,8.2,7.8
2016_t3,TFSR,28.4,71.6,59.4
2016_t4,Patron,42,58,57.1
2016_t4,Cuenta_propia,70.3,29.7,32.6
2016_t4,Asalariado,91.8,8.2,7.3
2016_t4,TFSR,10.3,89.7,81.1
2017_t1,Patron,44.9,55.1,49.9
2017_t1,Cuenta_propia,67,33,34.6
2017_t1,Asalariado,91.1,8.9,8.8
2017_t1,TFSR,30.5,69.5,65.4
2017_t2,Patron,46.1,53.9,51.6
2017_t2,Cuenta_propia,68.3,31.7,33.8
2017_t2,Asalariado,91.7,8.3,7.9
2017_t2,TFSR,13.8,86.2,82.4
2017_t3,Patron,51.6,48.4,40.3
2017_t3,Cuenta_propia,72.6,27.4,31.4
2017_t3,Asalariado,91.9,8.1,7.5
2017_t3,TFSR,12.6,87.4,77.5
2017_t4,Patron,57.3,42.7,44.9
2017_t4,Cuenta_propia,73.6,26.4,29.6
2017_t4,Asalariado,91.9,8.1,6.7
2017_t4,TFSR,22.7,77.3,74.1
2018_t1,Patron,46.4,53.6,54.4
2018_t1,Cuenta_propia,72.5,27.5,31.8
2018_t1,Asalariado,92.3,7.7,6.3
2018_t1,TFSR,23.4,76.6,68.7
2018_t2,Patron,44.5,55.5,47.9
2018_t2,Cuenta_propia,69.9,30.1,31.2
2018_t2,Asalariado,92.3,7.7,8
2018_t2,TFSR,17.7,82.3,83.5
2018_t3,Patron,48.7,51.3,47.8
2018_t3,Cuenta_propia,70.4,29.6,32
2018_t3,Asalariado,92.1,7.9,7.3
2018_t3,TFSR,9.6,90.4,91.1
2018_t4,Patron,50.5,49.5,45.7
2018_t4,Cuenta_propia,74.1,25.9,32.6
2018_t4,Asalariado,91.1,8.9,6.7
2018_t4,TFSR,37.6,62.4,57.3
2019_t1,Patron,45.2,54.8,52.9
2019_t1,Cuenta_propia,72.8,27.2,31.4
2019_t1,Asalariado,91.3,8.7,7.6
2019_t1,TFSR,27.2,72.8,59
2019_t2,Patron,40.5,59.5,46.9
2019_t2,Cuenta_propia,69.4,30.6,39.3
2019_t2,Asalariado,92.6,7.4,6.3
2019_t2,TFSR,49.2,50.8,43.8
2019_t3,Patron,43,57,38
2019_t3,Cuenta_propia,77.6,22.4,35.2
2019_t3,Asalariado,90.3,9.7,6.4
2019_t3,TFSR,24,76,63.2
2019_t4,Patron,34.1,65.9,52.8
2019_t4,Cuenta_propia,75.3,24.7,36.6
2019_t4,Asalariado,90.3,9.7,7.8
2019_t4,TFSR,17.7,82.3,83.7
2020_t1,Patron,48.2,51.8,51.4
2020_t1,Cuenta_propia,73.5,26.5,30.4
2020_t1,Asalariado,90.9,9.1,6.8
2020_t1,TFSR,17.8,82.2,77
2020_t2,Patron,60.2,39.8,70.6
2020_t2,Cuenta_propia,62.2,37.8,29.2
2020_t2,Asalariado,93.4,6.6,8.6
2020_t2,TFSR,7,93,94.1
2020_t3,Patron,50.4,49.6,51
2020_t3,Cuenta_propia,65.8,34.2,26.6
2020_t3,Asalariado,91.5,8.5,10.3
