periodo,categoria,persistencia,salida,entrada
2020_t4-t1,Desocupado,43.8,56.2,60.5
2020_t4-t1,Inactivo,88.8,11.2,7.8
2021_t1-t2,Ocupado,88.3,11.7,11.2
2021_t1-t2,Desocupado,36,64,59.9
2021_t1-t2,Inactivo,89.3,10.7,11.8
2021_t2-t3,Ocupado,90.1,9.9,12
2021_t2-t3,Desocupado,30.9,69.1,62
2021_t2-t3,Inactivo,88.2,11.8,12.1
2021_t3-t4,Ocupado,90.6,9.4,10.9
2021_t3-t4,Desocupado,34.3,65.7,61.9
2021_t3-t4,Inactivo,88.9,11.1,10.4
2021_t4-t1,Ocupado,89.4,10.6,10
2021_t4-t1,Desocupado,30.5,69.5,66.7
2021_t4-t1,Inactivo,90.1,9.9,11.3
2022_t1-t2,Ocupado,91,9,11.8
2022_t1-t2,Desocupado,31.8,68.2,66.3
2022_t1-t2,Inactivo,88,12,9.5
2022_t2-t3,Ocupado,89.7,10.3,10.1
2022_t2-t3,Desocupado,28.1,71.9,70.5
2022_t2-t3,Inactivo,89.1,10.9,11
2022_t3-t4,Ocupado,90.1,9.9,10.9
2022_t3-t4,Desocupado,27,73,67.9
2022_t3-t4,Inactivo,89.6,10.4,11
2022_t4-t1,Ocupado,90.2,9.8,9.9
2022_t4-t1,Desocupado,31.7,68.3,70.8
2022_t4-t1,Inactivo,89,11,10
2023_t1-t2,Ocupado,90.5,9.5,10.6
2023_t1-t2,Desocupado,29.4,70.6,65.8
2023_t1-t2,Inactivo,88.9,11.1,10.6
2023_t2-t3,Ocupado,90.9,9.1,10.6
2023_t2-t3,Desocupado,26.4,73.6,72.2
2023_t2-t3,Inactivo,88.6,11.4,10.3
2023_t3-t4,Ocupado,91.4,8.6,9.7
2023_t3-t4,Desocupado,25.4,74.6,71.1
2023_t3-t4,Inactivo,88.7,11.3,10.8
2023_t4-t1,Ocupado,88.5,11.5,9.8
2023_t4-t1,Desocupado,30.1,69.9,76.3
2023_t4-t1,Inactivo,88.8,11.2,11.2
2024_t1-t2,Ocupado,89.3,10.7,11.8
2024_t1-t2,Desocupado,26.8,73.2,74.6
2024_t1-t2,Inactivo,87.8,12.2,10.2
2024_t2-t3,Ocupado,90.2,9.8,10.4
2024_t2-t3,Desocupado,32.3,67.7,67.8
2024_t2-t3,Inactivo,88.6,11.4,11
2024_t3-t4,Ocupado,91.2,8.8,10.2
2024_t3-t4,Desocupado,29.4,70.6,69.2
2024_t3-t4,Inactivo,88.4,11.6,10.6
2024_t4-t1,Ocupado,88.3,11.7,9.6
2024_t4-t1,Desocupado,33.2,66.8,71.9
2024_t4-t1,Inactivo,89.1,10.9,11.5
2025_t1-t2,Ocupado,89.5,10.5,10.5
2025_t1-t2,Desocupado,29.6,70.4,70.5
2025_t1-t2,Inactivo,89.2,10.8,10.6
2025_t2-t3,Ocupado,90.7,9.3,10.7
2025_t2-t3,Desocupado,29.3,70.7,66.3
2025_t2-t3,Inactivo,89.2,10.8,10.2
2025_t3-t4,Ocupado,90.2,9.8,9
2025_t3-t4,Desocupado,34.4,65.6,72.4
2025_t3-t4,Inactivo,89.3,10.7,9.9
