periodo,categoria,persistencia,salida,entrada
2008_t2,Trab_familiar,88.5,11.5,0.3
2008_t3,Ocupado,85.7,14.3,14.2
2008_t3,Desocupado,21.4,78.6,80.8
2008_t3,Inactivo,86.2,13.8,17
2008_t3,Trab_familiar,87.6,12.4,0.8
2008_t4,Ocupado,86.4,13.6,12.6
2008_t4,Desocupado,24.7,75.3,76.8
2008_t4,Inactivo,86.6,13.4,17.4
2008_t4,Trab_familiar,90.1,9.9,0.4
2009_t1,Ocupado,0,100,100
2009_t1,Desocupado,0,100,100
2009_t1,Inactivo,0,100,100
2009_t1,Trab_familiar,0,100,100
2009_t2,Ocupado,0,100,100
2009_t2,Desocupado,0,100,100
2009_t2,Inactivo,0,100,100
2009_t2,Trab_familiar,0,100,100
2009_t3,Ocupado,87.2,12.8,14.6
2009_t3,Desocupado,23,77,72
2009_t3,Inactivo,86.6,13.4,16.7
2009_t3,Trab_familiar,88.7,11.3,0.3
2009_t4,Ocupado,86.7,13.3,13
2009_t4,Desocupado,21.5,78.5,73.9
2009_t4,Inactivo,87.1,12.9,18.2
2009_t4,Trab_familiar,88.7,11.3,0.5
2010_t1,Ocupado,0,100,100
2010_t1,Desocupado,0,100,100
2010_t1,Inactivo,0,100,100
2010_t1,Trab_familiar,0,100,100
2010_t2,Ocupado,0,100,100
2010_t2,Desocupado,0,100,100
2010_t2,Inactivo,0,100,100
2010_t2,Trab_familiar,0,100,100
2010_t3,Ocupado,88,12,14
2010_t3,Desocupado,21.2,78.8,78.5
2010_t3,Inactivo,86.3,13.7,15.4
2010_t3,Trab_familiar,88.7,11.3,0.8
2010_t4,Ocupado,88,12,13.2
2010_t4,Desocupado,22.6,77.4,76.6
2010_t4,Inactivo,86.3,13.7,15.6
2010_t4,Trab_familiar,89.1,10.9,1
2011_t1,Ocupado,87.1,12.9,12.9
2011_t1,Desocupado,19.3,80.7,82.6
2011_t1,Inactivo,86.9,13.1,16.1
2011_t1,Trab_familiar,89.5,10.5,0.5
2011_t2,Ocupado,87.2,12.8,13.9
2011_t2,Desocupado,19.7,80.3,76.5
2011_t2,Inactivo,86.3,13.7,17.1
2011_t2,Trab_familiar,89.7,10.3,0.3
2011_t3,Ocupado,87.1,12.9,14
2011_t3,Desocupado,21.2,78.8,80.3
2011_t3,Inactivo,84.9,15.1,17.1
2011_t3,Trab_familiar,89.1,10.9,0.9
2011_t4,Ocupado,87.2,12.8,12.9
2011_t4,Desocupado,25.6,74.4,75.9
2011_t4,Inactivo,86.8,13.2,16.6
2011_t4,Trab_familiar,87.7,12.3,0.5
2012_t1,Ocupado,87.1,12.9,13.7
2012_t1,Desocupado,26.1,73.9,78.9
2012_t1,Inactivo,85.1,14.9,15.3
2012_t1,Trab_familiar,89,11,0.6
2012_t2,Ocupado,87.9,12.1,12.4
2012_t2,Desocupado,27.7,72.3,76.1
2012_t2,Inactivo,86.1,13.9,16.6
2012_t2,Trab_familiar,87.3,12.7,0.4
2012_t3,Ocupado,86.9,13.1,12.6
2012_t3,Desocupado,20.4,79.6,77.7
2012_t3,Inactivo,87.1,12.9,17.1
2012_t3,Trab_familiar,88.5,11.5,0.9
2012_t4,Ocupado,87.5,12.5,12.3
2012_t4,Desocupado,19.5,80.5,77.7
2012_t4,Inactivo,87.6,12.4,16.9
2012_t4,Trab_familiar,89.1,10.9,0.5
2013_t1,Ocupado,88.3,11.7,13.4
2013_t1,Desocupado,23,77,77.2
2013_t1,Inactivo,87.1,12.9,14.4
2013_t1,Trab_familiar,88.9,11.1,1.7
2013_t2,Ocupado,0,100,100
2013_t2,Desocupado,0,100,100
2013_t2,Inactivo,0,100,100
2013_t2,Trab_familiar,0,100,100
2013_t3,Ocupado,86.7,13.3,14.3
2013_t3,Desocupado,19.5,80.5,81.5
2013_t3,Inactivo,85.9,14.1,16.9
2013_t3,Trab_familiar,89.3,10.7,0.2
2013_t4,Ocupado,86.6,13.4,13.8
2013_t4,Desocupado,23.4,76.6,78.6
2013_t4,Inactivo,86.3,13.7,16.6
2013_t4,Trab_familiar,88.9,11.1,0.5
2014_t1,Ocupado,85.8,14.2,13.7
2014_t1,Desocupado,22.3,77.7,77.7
