from,to,weight,id,periodo_base,categoria,periodo
Asalariado_t0,Patron_t1,0.6,Asalariado_t0 - Patron_t1,t_anterior,Asalariado,2019_t1-t2
Asalariado_t0,TFSR_t1,0.2,Asalariado_t0 - TFSR_t1,t_anterior,Asalariado,2019_t1-t2
Patron_t0,Patron_t1,49.7,Patron_t0 - Patron_t1,t_anterior,Patron,2019_t2-t3
Patron_t0,Cuenta_propia_t1,33.2,Patron_t0 - Cuenta_propia_t1,t_anterior,Patron,2019_t2-t3
Patron_t0,Asalariado_t1,16.7,Patron_t0 - Asalariado_t1,t_anterior,Patron,2019_t2-t3
Patron_t0,TFSR_t1,0.5,Patron_t0 - TFSR_t1,t_anterior,Patron,2019_t2-t3
Cuenta_propia_t0,Asalariado_t1,18.6,Cuenta_propia_t0 - Asalariado_t1,t_anterior,Cuenta_propia,2019_t2-t3
Cuenta_propia_t0,Cuenta_propia_t1,75.2,Cuenta_propia_t0 - Cuenta_propia_t1,t_anterior,Cuenta_propia,2019_t2-t3
Cuenta_propia_t0,Patron_t1,5.5,Cuenta_propia_t0 - Patron_t1,t_anterior,Cuenta_propia,2019_t2-t3
Cuenta_propia_t0,TFSR_t1,0.7,Cuenta_propia_t0 - TFSR_t1,t_anterior,Cuenta_propia,2019_t2-t3
Asalariado_t0,Asalariado_t1,92.8,Asalariado_t0 - Asalariado_t1,t_anterior,Asalariado,2019_t2-t3
Asalariado_t0,Cuenta_propia_t1,6.4,Asalariado_t0 - Cuenta_propia_t1,t_anterior,Asalariado,2019_t2-t3
Asalariado_t0,Patron_t1,0.6,Asalariado_t0 - Patron_t1,t_anterior,Asalariado,2019_t2-t3
Asalariado_t0,TFSR_t1,0.2,Asalariado_t0 - TFSR_t1,t_anterior,Asalariado,2019_t2-t3
Patron_t0,Patron_t1,59.6,Patron_t0 - Patron_t1,t_anterior,Patron,2019_t3-t4
Patron_t0,Cuenta_propia_t1,33.6,Patron_t0 - Cuenta_propia_t1,t_anterior,Patron,2019_t3-t4
Patron_t0,Asalariado_t1,6.7,Patron_t0 - Asalariado_t1,t_anterior,Patron,2019_t3-t4
Patron_t0,TFSR_t1,0,Patron_t0 - TFSR_t1,t_anterior,Patron,2019_t3-t4
Cuenta_propia_t0,Cuenta_propia_t1,72.8,Cuenta_propia_t0 - Cuenta_propia_t1,t_anterior,Cuenta_propia,2019_t3-t4
Cuenta_propia_t0,Asalariado_t1,21,Cuenta_propia_t0 - Asalariado_t1,t_anterior,Cuenta_propia,2019_t3-t4
Cuenta_propia_t0,Patron_t1,5.7,Cuenta_propia_t0 - Patron_t1,t_anterior,Cuenta_propia,2019_t3-t4
Cuenta_propia_t0,TFSR_t1,0.5,Cuenta_propia_t0 - TFSR_t1,t_anterior,Cuenta_propia,2019_t3-t4
Asalariado_t0,Asalariado_t1,93.7,Asalariado_t0 - Asalariado_t1,t_anterior,Asalariado,2019_t3-t4
Asalariado_t0,Cuenta_propia_t1,5.2,Asalariado_t0 - Cuenta_propia_t1,t_anterior,Asalariado,2019_t3-t4
Asalariado_t0,Patron_t1,0.9,Asalariado_t0 - Patron_t1,t_anterior,Asalariado,2019_t3-t4
Asalariado_t0,TFSR_t1,0.2,Asalariado_t0 - TFSR_t1,t_anterior,Asalariado,2019_t3-t4
Patron_t0,Cuenta_propia_t1,41.8,Patron_t0 - Cuenta_propia_t1,t_anterior,Patron,2019_t4-t1
Patron_t0,Asalariado_t1,12.7,Patron_t0 - Asalariado_t1,t_anterior,Patron,2019_t4-t1
Patron_t0,Patron_t1,45.5,Patron_t0 - Patron_t1,t_anterior,Patron,2019_t4-t1
Cuenta_propia_t0,Asalariado_t1,18.9,Cuenta_propia_t0 - Asalariado_t1,t_anterior,Cuenta_propia,2019_t4-t1
Cuenta_propia_t0,Cuenta_propia_t1,76.3,Cuenta_propia_t0 - Cuenta_propia_t1,t_anterior,Cuenta_propia,2019_t4-t1
Cuenta_propia_t0,Patron_t1,4.5,Cuenta_propia_t0 - Patron_t1,t_anterior,Cuenta_propia,2019_t4-t1
Cuenta_propia_t0,TFSR_t1,0.3,Cuenta_propia_t0 - TFSR_t1,t_anterior,Cuenta_propia,2019_t4-t1
Asalariado_t0,Asalariado_t1,93.9,Asalariado_t0 - Asalariado_t1,t_anterior,Asalariado,2019_t4-t1
Asalariado_t0,Cuenta_propia_t1,5.3,Asalariado_t0 - Cuenta_propia_t1,t_anterior,Asalariado,2019_t4-t1
Asalariado_t0,Patron_t1,0.7,Asalariado_t0 - Patron_t1,t_anterior,Asalariado,2019_t4-t1
Asalariado_t0,TFSR_t1,0.1,Asalariado_t0 - TFSR_t1,t_anterior,Asalariado,2019_t4-t1
Patron_t0,Patron_t1,39.1,Patron_t0 - Patron_t1,t_anterior,Patron,2020_t1-t2
Patron_t0,Cuenta_propia_t1,37.3,Patron_t0 - Cuenta_propia_t1,t_anterior,Patron,2020_t1-t2
Patron_t0,Asalariado_t1,22.4,Patron_t0 - Asalariado_t1,t_anterior,Patron,2020_t1-t2
Patron_t0,TFSR_t1,1.2,Patron_t0 - TFSR_t1,t_anterior,Patron,2020_t1-t2
Cuenta_propia_t0,Cuenta_propia_t1,79.4,Cuenta_propia_t0 - Cuenta_propia_t1,t_anterior,Cuenta_propia,2020_t1-t2
Cuenta_propia_t0,Asalariado_t1,16.9,Cuenta_propia_t0 - Asalariado_t1,t_anterior,Cuenta_propia,2020_t1-t2
Cuenta_propia_t0,Patron_t1,2.9,Cuenta_propia_t0 - Patron_t1,t_anterior,Cuenta_propia,2020_t1-t2
Cuenta_propia_t0,TFSR_t1,0.8,Cuenta_propia_t0 - TFSR_t1,t_anterior,Cuenta_propia,2020_t1-t2
Asalariado_t0,Asalariado_t1,93.7,Asalariado_t0 - Asalariado_t1,t_anterior,Asalariado,2020_t1-t2
Asalariado_t0,Cuenta_propia_t1,5.4,Asalariado_t0 - Cuenta_propia_t1,t_anterior,Asalariado,2020_t1-t2
Asalariado_t0,Patron_t1,0.6,Asalariado_t0 - Patron_t1,t_anterior,Asalariado,2020_t1-t2
Asalariado_t0,TFSR_t1,0.3,Asalariado_t0 - TFSR_t1,t_anterior,Asalariado,2020_t1-t2
Patron_t0,Asalariado_t1,13.4,Patron_t0 - Asalariado_t1,t_anterior,Patron,2020_t2-t3
Patron_t0,Cuenta_propia_t1,27.9,Patron_t0 - Cuenta_propia_t1,t_anterior,Patron,2020_t2-t3
Patron_t0,Patron_t1,58.2,Patron_t0 - Patron_t1,t_anterior,Patron,2020_t2-t3
Patron_t0,TFSR_t1,0.5,Patron_t0 - TFSR_t1,t_anterior,Patron,2020_t2-t3
