from,to,weight,id,periodo_base,categoria,periodo
Formal_t0,Formal_t1,93.3,Formal_t0 - Formal_t1,t_anterior,Formal,2011_t3
Formal_t0,Informal_t1,6.7,Formal_t0 - Informal_t1,t_anterior,Formal,2011_t3
Informal_t0,Informal_t1,79.6,Informal_t0 - Informal_t1,t_anterior,Informal,2011_t3
Informal_t0,Formal_t1,20.4,Informal_t0 - Formal_t1,t_anterior,Informal,2011_t3
Formal_t0,Formal_t1,93.7,Formal_t0 - Formal_t1,t_anterior,Formal,2011_t4
Formal_t0,Informal_t1,6.3,Formal_t0 - Informal_t1,t_anterior,Formal,2011_t4
Informal_t0,Informal_t1,78.9,Informal_t0 - Informal_t1,t_anterior,Informal,2011_t4
Informal_t0,Formal_t1,21.1,Informal_t0 - Formal_t1,t_anterior,Informal,2011_t4
Formal_t0,Informal_t1,5.5,Formal_t0 - Informal_t1,t_anterior,Formal,2012_t1
Formal_t0,Formal_t1,94.5,Formal_t0 - Formal_t1,t_anterior,Formal,2012_t1
Informal_t0,Informal_t1,76.5,Informal_t0 - Informal_t1,t_anterior,Informal,2012_t1
Informal_t0,Formal_t1,23.5,Informal_t0 - Formal_t1,t_anterior,Informal,2012_t1
Formal_t0,Formal_t1,94.2,Formal_t0 - Formal_t1,t_anterior,Formal,2012_t2
Formal_t0,Informal_t1,5.8,Formal_t0 - Informal_t1,t_anterior,Formal,2012_t2
Informal_t0,Informal_t1,80.4,Informal_t0 - Informal_t1,t_anterior,Informal,2012_t2
Informal_t0,Formal_t1,19.6,Informal_t0 - Formal_t1,t_anterior,Informal,2012_t2
Formal_t0,Formal_t1,93.7,Formal_t0 - Formal_t1,t_anterior,Formal,2012_t3
Formal_t0,Informal_t1,6.3,Formal_t0 - Informal_t1,t_anterior,Formal,2012_t3
Informal_t0,Informal_t1,79.4,Informal_t0 - Informal_t1,t_anterior,Informal,2012_t3
Informal_t0,Formal_t1,20.6,Informal_t0 - Formal_t1,t_anterior,Informal,2012_t3
